ticket_id,title,description,category,severity,requester_id,status,created_at,resolution_notes
MERT-1027,Print queue stuck on floor 3,Jobs sit in the queue on the floor 3 printer and never come out. Three of us are affected.,platform_support_access,low,MER-001,resolved,2025-12-24 04:00,Print spooler service hung on the print server; queue cleared and restarted.
MERT-1021,"Password expired, locked out of workstation",I was on leave for three weeks and my password expired while I was away. I cannot log in to my workstation to change it.,platform_support_access,medium,MER-011,resolved,25/12/2025 05:00,Account unlocked and password reset through verified self-service path.
MERT-1048,Need the knowledge transfer pack for the incoming analyst,The previous owner has left and we have no KT notes for the weekly reporting run.,knowledge_transfer,medium,MER-004,resolved,"Dec 27, 2025 01:00 AM",Reconstructed the handover from the leaver's runbook and recorded sessions.
MERT-1051,Reassign analytics licence from a leaver,One of our analysts left last month and their analytics licence is still assigned. We need it for the replacement.,process_transformation,low,MER-001,resolved,2025-12-29 04:00,Seat reclaimed through the leaver process after confirming no pending content.
MERT-1033,Laptop extremely slow after the September update,Since the update pushed last week my laptop takes about ten minutes to become usable after login. Disk sits at 100 percent.,bug,medium,,resolved,07/01/2026 07:00,Post-update search re-index saturating disk on machines with small SSDs.
MERT-1040,Recorded a session but cannot find the file,Cannot locate a recording from last week. It is not in my OneDrive or the channel.,platform_support_access,medium,MER-007,resolved,"Jan 09, 2026 08:00 AM","Recording saved to the organiser's OneDrive, not the channel, because the meeting was created outside the channel."
MERT-1052,Unused licence needs reallocating,We are at our licence cap but one seat belongs to a leaver. How do we reclaim it?,process_transformation,low,MER-001,resolved,2026-01-13 05:00,Seat reclaimed through the leaver process after confirming no pending content.
MERT-1044,Cannot submit expenses - session expires,"The expense system times out at submission. I have tried twice today, claim lost both times.",bug,high,MER-007,resolved,15/01/2026 08:00,Claims with more than twenty line items exceeded the gateway timeout.
MERT-1014,Request access to Finance shared drive,I have joined the reporting team this week and need read/write access to the FIN-Reporting share to pick up the month-end pack.,platform_support_access,medium,,resolved,"Jan 18, 2026 04:00 AM",Access granted after manager approval and entitlement review.
MERT-1008,Nightly SAP batch job failed - month end blocked,The overnight finance batch aborted at 02:40. Month-end close is blocked and we need this before the reporting cut-off today.,bug,critical,MER-006,resolved,2026-01-19 07:00,Batch aborted on a table lock held by an unfinished posting session.
MERT-1047,KT handover documentation for new joiner,A new analyst joins the reporting team on Monday and there is no handover pack from the person who left. What is the process to reconstruct it?,knowledge_transfer,medium,,resolved,25/01/2026 01:00,Reconstructed the handover from the leaver's runbook and recorded sessions.
MERT-1043,Expense tool times out when submitting a claim,Every time I hit submit on an expense claim the page spins and then returns me to the login screen. Claim is not saved.,bug,high,MER-005,resolved,"Jan 29, 2026 01:00 AM",Claims with more than twenty line items exceeded the gateway timeout.
MERT-1039,Teams meeting recording not appearing in SharePoint,I recorded the supplier review on Tuesday. The chat says the recording is saved but nothing appears in the channel's Files tab.,platform_support_access,medium,MER-003,resolved,2026-01-29 07:00,"Recording saved to the organiser's OneDrive, not the channel, because the meeting was created outside the channel."
MERT-1001,Cannot connect to VPN after MFA reset,I reset my authenticator app yesterday and now the VPN client rejects my login. It shows 'authentication failed' straight after the push notification.,question,high,MER-004,resolved,03/02/2026 09:00,Stale VPN device certificate after MFA re-enrolment.
MERT-1050,Handover notes missing for the reporting role,Who owns producing handover documentation when someone exits mid-cycle?,knowledge_transfer,medium,MER-001,open,"Feb 24, 2026 01:00 AM",
MERT-1017,Access request: Finance reporting share,Need permission on the FIN-Reporting drive. Starting on the close process Monday.,platform_support_access,medium,MER-002,open,2026-02-24 06:00,
MERT-1028,Nothing printing from the third floor MFD,The MFD near the east stairwell accepts jobs but prints nothing since this morning.,platform_support_access,low,,open,24/02/2026 09:00,
MERT-1004,Unable to VPN in - MFA prompt loops,"MFA prompt keeps looping on VPN sign-in. Approved it four times, no luck.",question,high,MER-007,open,"Feb 25, 2026 01:00 AM",
MERT-1026,Account locked after too many attempts,Locked out after entering the old password too many times. Need an unlock.,platform_support_access,medium,MER-004,open,2026-02-25 01:00,
MERT-1034,Machine unusable since last patch cycle,The patch cycle has made my machine crawl. Task manager shows constant disk activity.,bug,medium,MER-009,open,25/02/2026 01:00,
MERT-1007,GlobalConnect VPN rejects credentials after MFA change,VPN has not worked since my MFA was reset by the helpdesk. Getting error AUTH-5521.,platform_support_access,high,MER-006,open,"Feb 25, 2026 03:00 AM",
MERT-1019,Need permissions for FIN-Reporting folder,Could you please grant me access to \\meridian\finance\reporting. My manager has approved over email.,platform_support_access,medium,MER-003,open,2026-02-25 04:00,
MERT-1046,Expense submission fails at the final step,Submission step fails with a session error. Draft disappears after.,question,high,MER-009,open,25/02/2026 05:00,
MERT-1002,VPN login failing since authenticator re-enrolment,"Since re-enrolling MFA on my new phone I cannot get on the VPN. The push arrives, I approve it, and the client still times out.",platform_support_access,high,MER-001,open,"Feb 26, 2026 12:00 AM",
MERT-1036,Laptop extremely slow after the September update,Since the update pushed last week my laptop takes about ten minutes to become usable after login. Disk sits at 100 percent.,bug,medium,MER-006,open,2026-02-26 03:00,
MERT-1003,GlobalConnect VPN rejects credentials after MFA change,VPN has not worked since my MFA was reset by the helpdesk. Getting error AUTH-5521.,question,high,MER-012,open,26/02/2026 06:00,
MERT-1053,Unused licence needs reallocating,We are at our licence cap but one seat belongs to a leaver. How do we reclaim it?,process_transformation,low,MER-002,open,"Feb 26, 2026 08:00 AM",
MERT-1042,Meeting recording missing from the channel,,platform_support_access,medium,MER-011,open,2026-02-26 09:00,
MERT-1012,SAP job Z_FI_CLOSE aborted overnight,Z_FI_CLOSE shows status ABORTED in SM37. No output produced. This is blocking close.,bug,critical,MER-002,open,27/02/2026 01:00,
MERT-1041,Recorded a session but cannot find the file,,platform_support_access,medium,MER-005,open,"Feb 27, 2026 01:00 AM",
MERT-1032,Printer jobs queue but never print,Print jobs pile up and the device shows ready. Restarting my machine did not help.,platform_support_access,low,,open,2026-02-27 03:00,
MERT-1018,Request access to Finance shared drive,I have joined the reporting team this week and need read/write access to the FIN-Reporting share to pick up the month-end pack.,platform_support_access,medium,,open,27/02/2026 05:00,
MERT-1025,Cannot log in - password expiry on return from leave,Back from leave and locked out. The self-service reset page says my account is locked.,platform_support_access,medium,MER-011,open,"Feb 27, 2026 05:00 AM",
MERT-1029,Printer jobs queue but never print,Print jobs pile up and the device shows ready. Restarting my machine did not help.,platform_support_access,low,,open,2026-02-27 05:00,
MERT-1013,Month-end close batch did not complete,Batch did not finish last night. Finance cannot proceed with close.,bug,critical,,open,27/02/2026 08:00,
MERT-1038,Very high disk usage after update,Everything is slow since the update. Opening Outlook takes minutes.,bug,medium,,open,"Feb 27, 2026 08:00 AM",
MERT-1045,Cannot submit expenses - session expires,"The expense system times out at submission. I have tried twice today, claim lost both times.",question,high,MER-012,open,2026-02-27 09:00,
MERT-1035,Very high disk usage after update,Everything is slow since the update. Opening Outlook takes minutes.,bug,medium,MER-007,open,28/02/2026 00:00,
MERT-1010,Month-end close batch did not complete,Batch did not finish last night. Finance cannot proceed with close.,question,critical,,open,"Feb 28, 2026 04:00 AM",
MERT-1020,Please grant access to the month-end folder,Requesting access to the finance month-end folder for my new role.,platform_support_access,medium,MER-004,open,2026-02-28 04:00,
MERT-1031,Nothing printing from the third floor MFD,The MFD near the east stairwell accepts jobs but prints nothing since this morning.,platform_support_access,low,MER-011,open,28/02/2026 06:00,
MERT-1049,Need the knowledge transfer pack for the incoming analyst,The previous owner has left and we have no KT notes for the weekly reporting run.,knowledge_transfer,medium,MER-009,open,"Feb 28, 2026 07:00 AM",
